iter	Passed	Remaining
283	973	2453
284	976	2448
285	978	2443
286	981	2438
287	984	2433
288	987	2428
289	989	2423
290	992	2418
291	995	2413
292	997	2408
293	1000	2403
294	1003	2398
295	1006	2393
296	1009	2388
297	1011	2383
298	1014	2378
299	1017	2373
300	1021	2371
301	1024	2368
302	1028	2365
303	1031	2362
304	1036	2361
305	1039	2356
306	1042	2353
307	1045	2349
308	1048	2344
309	1051	2340
310	1054	2335
311	1057	2331
312	1060	2326
313	1062	2321
314	1065	2317
315	1068	2312
316	1070	2307
317	1073	2303
318	1076	2298
319	1079	2293
320	1082	2289
321	1085	2284
322	1087	2279
323	1090	2275
324	1093	2270
325	1096	2266
326	1098	2261
327	1101	2256
328	1104	2252
329	1107	2247
330	1109	2243
331	1112	2238
332	1115	2234
333	1118	2229
334	1120	2225
335	1123	2220
336	1126	2216
337	1129	2211
338	1131	2207
339	1134	2202
340	1138	2199
341	1141	2196
342	1145	2193
343	1148	2190
344	1153	2189
345	1158	2189
346	1162	2188
347	1167	2188
348	1172	2187
349	1177	2186
350	1182	2186
351	1187	2185
352	1192	2184
353	1197	2184
354	1201	2183
355	1206	2183
356	1211	2182
357	1216	2182
358	1221	2181
359	1226	2180
360	1235	2186
361	1244	2193
362	1250	2194
363	1255	2193
364	1259	2191
365	1264	2190
366	1269	2189
367	1274	2188
368	1279	2187
369	1284	2186
370	1289	2185
371	1294	2184
372	1299	2184
373	1303	2181
374	1306	2177
375	1309	2174
376	1313	2170
377	1316	2166
378	1319	2161
379	1321	2156
380	1324	2152
381	1327	2147
382	1330	2143
383	1333	2138
384	1336	2134
385	1338	2129
386	1341	2125
387	1344	2120
388	1347	2116
389	1349	2111
390	1352	2106
391	1355	2101
392	1357	2097
393	1360	2092
394	1363	2088
395	1366	2083
396	1368	2079
397	1371	2074
398	1374	2070
399	1377	2066
400	1380	2061
401	1382	2057
402	1385	2052
403	1388	2048
404	1391	2043
405	1393	2039
406	1396	2035
407	1399	2030
408	1402	2026
409	1405	2022
410	1408	2017
411	1410	2013
412	1413	2009
413	1416	2004
414	1418	2000
415	1422	1997
416	1426	1994
417	1430	1991
418	1433	1987
419	1436	1984
420	1441	1982
421	1444	1978
422	1447	1974
423	1450	1970
424	1453	1966
425	1455	1961
426	1458	1957
427	1461	1953
428	1464	1949
429	1467	1944
430	1470	1940
431	1472	1936
432	1476	1933
433	1479	1929
434	1483	1926
435	1486	1922
436	1490	1919
437	1494	1917
438	1497	1913
439	1501	1910
440	1504	1907
441	1508	1904
442	1511	1900
443	1515	1897
444	1518	1893
445	1522	1890
446	1525	1887
447	1528	1883
448	1532	1880
449	1535	1876
450	1539	1873
451	1542	1870
452	1546	1867
453	1549	1863
454	1553	1860
455	1556	1857
456	1560	1853
457	1563	1850
458	1567	1846
459	1570	1843
460	1574	1840
461	1577	1837
462	1580	1833
463	1584	1830
464	1588	1827
465	1591	1823
466	1595	1820
467	1598	1817
468	1601	1813
469	1605	1810
470	1608	1806
471	1612	1803
472	1615	1800
473	1619	1797
474	1622	1793
475	1626	1790
476	1631	1788
477	1636	1787
478	1640	1784
479	1644	1781
480	1647	1777
481	1651	1775
482	1655	1771
483	1657	1767
484	1660	1763
485	1663	1759
486	1666	1754
487	1669	1751
488	1672	1747
489	1674	1743
490	1677	1739
491	1680	1735
492	1683	1730
493	1686	1727
494	1689	1723
495	1691	1719
496	1694	1715
497	1697	1710
498	1700	1706
499	1703	1703
500	1706	1699
501	1708	1695
502	1711	1691
503	1714	1687
504	1717	1683
505	1719	1678
506	1722	1674
507	1725	1670
508	1728	1666
509	1730	1662
510	1733	1658
511	1736	1654
512	1739	1650
513	1741	1646
514	1744	1642
515	1747	1638
516	1749	1634
517	1752	1630
518	1755	1626
519	1758	1622
520	1760	1619
521	1763	1615
522	1766	1611
523	1769	1607
524	1772	1603
525	1774	1599
526	1777	1595
527	1780	1591
528	1783	1587
529	1786	1583
530	1788	1579
531	1791	1576
532	1794	1572
533	1797	1568
534	1800	1564
535	1802	1560
536	1805	1556
537	1808	1552
538	1810	1548
539	1813	1544
540	1816	1541
541	1819	1537
542	1821	1533
543	1824	1529
544	1827	1525
545	1830	1521
546	1833	1518
547	1835	1514
548	1839	1511
549	1843	1508
550	1847	1505
551	1850	1501
552	1853	1498
553	1857	1495
554	1861	1492
555	1865	1489
556	1867	1485
557	1870	1481
558	1873	1477
559	1876	1474
560	1879	1470
561	1882	1466
562	1884	1463
563	1887	1459
564	1890	1455
565	1893	1451
566	1896	1448
567	1898	1444
568	1901	1440
569	1904	1436
570	1907	1432
571	1909	1429
572	1912	1425
573	1915	1421
574	1917	1417
575	1920	1413
576	1923	1410
577	1926	1406
578	1929	1403
579	1932	1399
580	1935	1395
581	1938	1391
582	1940	1388
583	1943	1384
584	1946	1380
585	1949	1377
586	1951	1373
587	1954	1369
588	1957	1365
589	1960	1362
590	1964	1359
591	1967	1356
592	1971	1352
593	1974	1349
594	1977	1346
595	1981	1343
596	1984	1339
597	1988	1336
598	1992	1333
599	1995	1330
600	1998	1326
601	2002	1323
602	2005	1320
603	2009	1317
604	2012	1314
605	2016	1310
606	2019	1307
607	2023	1304
608	2026	1301
609	2030	1297
610	2033	1294
611	2037	1291
612	2040	1288
613	2044	1285
614	2047	1281
615	2053	1279
616	2057	1277
617	2062	1275
618	2067	1272
619	2106	1291
620	2117	1292
621	2127	1292
622	2132	1290
623	2136	1287
624	2139	1283
625	2142	1279
626	2145	1276
627	2148	1272
628	2151	1268
629	2154	1265
630	2156	1261
631	2159	1257
632	2162	1253
633	2165	1250
634	2168	1246
635	2171	1242
636	2174	1239
637	2177	1235
638	2180	1231
639	2183	1227
640	2186	1224
641	2189	1220
642	2192	1217
643	2194	1213
644	2197	1209
645	2201	1206
646	2203	1202
647	2206	1198
648	2209	1194
649	2212	1191
650	2214	1187
651	2218	1183
652	2220	1180
653	2223	1176
654	2226	1172
655	2229	1168
656	2232	1165
657	2234	1161
658	2237	1157
659	2240	1154
660	2243	1150
661	2245	1146
662	2249	1143
663	2254	1140
664	2258	1137
665	2261	1134
666	2265	1130
667	2268	1127
668	2272	1124
669	2278	1122
670	2283	1119
671	2287	1116
672	2290	1113
673	2294	1109
674	2298	1106
675	2302	1103
676	2305	1100
677	2309	1096
678	2313	1093
679	2316	1090
680	2320	1087
681	2324	1083
682	2327	1080
683	2331	1077
684	2335	1073
685	2338	1070
686	2341	1066
687	2345	1063
688	2349	1060
689	2352	1057
690	2356	1053
691	2360	1050
692	2363	1047
693	2367	1043
694	2370	1040
695	2374	1037
696	2378	1033
697	2381	1030
698	2385	1027
699	2389	1024
700	2393	1020
701	2396	1017
702	2400	1014
703	2404	1010
704	2407	1007
705	2412	1004
706	2416	1001
707	2419	997
708	2423	994
709	2428	991
710	2432	988
711	2436	985
712	2440	982
713	2443	978
714	2446	975
715	2448	971
716	2451	967
717	2454	964
718	2459	961
719	2463	957
720	2466	954
721	2470	951
722	2474	947
723	2477	944
724	2481	941
725	2485	937
726	2490	935
727	2493	931
728	2496	927
729	2498	924
730	2501	920
731	2505	917
732	2508	913
733	2511	910
734	2514	906
735	2517	902
736	2520	899
737	2523	895
738	2526	892
739	2529	888
740	2531	884
741	2534	881
742	2538	878
743	2542	874
744	2545	871
745	2549	867
746	2553	864
747	2557	861
748	2560	858
749	2564	854
750	2568	851
751	2572	848
752	2575	844
753	2579	841
754	2583	838
755	2587	835
756	2591	831
757	2594	828
758	2598	825
759	2602	821
760	2608	819
761	2612	816
762	2618	813
763	2623	810
764	2629	807
765	2633	804
766	2639	801
767	2644	798
768	2649	795
769	2654	792
770	2659	789
771	2664	786
772	2673	784
773	2682	783
774	2690	781
775	2697	778
776	2706	776
777	2709	773
778	2713	769
779	2717	766
780	2721	763
781	2725	759
782	2728	756
783	2732	752
784	2736	749
785	2739	745
786	2743	742
787	2747	739
788	2751	735
789	2754	732
790	2758	728
791	2762	725
792	2765	721
793	2768	718
794	2771	714
795	2773	710
796	2776	707
797	2780	703
798	2782	700
799	2785	696
800	2788	692
801	2791	689
802	2793	685
803	2797	681
804	2800	678
805	2803	674
806	2805	671
807	2808	667
808	2811	663
809	2814	660
810	2817	656
811	2820	652
812	2822	649
813	2825	645
814	2828	642
815	2831	638
816	2834	634
817	2837	631
818	2840	627
819	2843	624
820	2846	620
821	2848	616
822	2851	613
823	2854	609
824	2857	606
825	2860	602
826	2863	599
827	2866	595
828	2869	591
829	2872	588
830	2876	584
831	2880	581
832	2884	578
833	2888	574
834	2892	571
835	2895	567
836	2899	564
837	2936	567
838	2949	565
839	2953	562
840	2957	559
841	2960	555
842	2963	551
843	2966	548
844	2968	544
845	2971	540
846	2974	537
847	2977	533
848	2980	530
849	2983	526
850	2985	522
851	2989	519
852	2992	515
853	2994	511
854	2997	508
855	3000	504
856	3002	501
857	3005	497
858	3008	493
859	3011	490
860	3014	486
861	3017	483
862	3019	479
863	3022	475
864	3025	472
865	3028	468
866	3030	464
867	3033	461
868	3036	457
869	3039	454
870	3042	450
871	3045	447
872	3047	443
873	3050	439
874	3053	436
875	3056	432
876	3059	429
877	3061	425
878	3064	421
879	3067	418
880	3070	414
881	3073	411
882	3076	407
883	3078	403
884	3081	400
885	3084	396
886	3089	393
887	3094	390
888	3099	387
889	3104	383
890	3109	380
891	3114	377
892	3119	373
893	3125	370
894	3128	367
895	3132	363
896	3136	360
897	3140	356
898	3143	353
899	3146	349
900	3150	346
901	3154	342
902	3157	339
903	3160	335
904	3164	332
905	3167	328
906	3171	325
907	3174	321
908	3178	318
909	3181	314
910	3185	311
911	3188	307
912	3192	304
913	3195	300
914	3199	297
915	3202	293
916	3206	290
917	3209	286
918	3213	283
919	3216	279
920	3220	276
921	3223	272
922	3226	269
923	3230	265
924	3233	262
925	3237	258
926	3240	255
927	3243	251
928	3246	248
929	3249	244
930	3251	241
931	3254	237
932	3257	233
933	3260	230
934	3264	226
935	3267	223
936	3271	219
937	3274	216
938	3278	212
939	3281	209
940	3284	205
941	3289	202
942	3294	199
943	3299	195
944	3303	192
945	3308	188
946	3313	185
947	3318	182
948	3323	178
949	3329	175
950	3332	171
951	3336	168
952	3339	164
953	3343	161
954	3346	157
955	3350	154
956	3353	150
957	3357	147
958	3360	143
959	3364	140
960	3367	136
961	3371	133
962	3374	129
963	3378	126
964	3381	122
965	3385	119
966	3388	115
967	3392	112
968	3395	108
969	3398	105
970	3402	101
971	3405	98
972	3409	94
973	3412	91
974	3416	87
975	3419	84
976	3422	80
977	3425	77
978	3428	73
979	3431	70
980	3433	66
981	3436	62
982	3439	59
983	3442	55
984	3444	52
985	3447	48
986	3450	45
987	3453	41
988	3455	38
989	3458	34
990	3461	31
991	3463	27
992	3466	24
993	3469	20
994	3471	17
995	3474	13
996	3477	10
997	3480	6
998	3483	3
999	3485	0
